id,created_at,text
370550478636978177,2013-08-22 14:18:13,b'@Bsotz15 happy bday whitey!!'
370373215257763840,2013-08-22 02:33:50,b'The highlight of today was me eating in and out burger #thelife'
369813054080286721,2013-08-20 13:27:57,b'A black guy is speaking chinese .. #impossiblemadepossible'
369672326133993472,2013-08-20 04:08:45,b'@LiLCBaller23 Aug 21 in the morning'
369662188157284355,2013-08-20 03:28:28,b'Onwards back to the US #ByeAsia'
368545863708073984,2013-08-17 01:32:35,b'U miss so much news without twitter'
368541964645318658,2013-08-17 01:17:06,"b'@Bsotz15 @JohnMccarthy07 def, when did practice start?'"
368540936415891456,2013-08-17 01:13:01,b'@Bsotz15 @JohnMccarthy07 im coming back in aug 20th bud'
368539232966434816,2013-08-17 01:06:14,b'@JohnMccarthy07 john stop.'
367454573620756480,2013-08-14 01:16:11,b'@littlelivss woohoo english buddies again!'
367452833735376896,2013-08-14 01:09:17,b'@Bsotz15 but ur not smart..'
367450014907244544,2013-08-14 00:58:05,b'It sucks that im still only 14..'
367449339167125504,2013-08-14 00:55:24,b'@LiLCBaller23 I think so I dont remember'
367447629694631936,2013-08-14 00:48:36,"b'@LiLCBaller23 tu=you, son=are, mal=BAD'"
367447436957978625,2013-08-14 00:47:50,b'@LiLCBaller23 bro sean and nick have chem with me'
367447265561956352,2013-08-14 00:47:09,b'@LiLCBaller23 do u remember anything from spanish 1?'
367446907078975489,2013-08-14 00:45:44,b'@JohnMccarthy07 m8 spanish bout to be hella fun with u me and con'
367442550514143232,2013-08-14 00:28:25,b'@LiLCBaller23 tu son mal.'
367434143145009152,2013-08-13 23:55:00,b'@Smoore0 RON WE HAVE CHEMISTRY!'
367275164406259712,2013-08-13 13:23:17,b'What I look foward to the most back in MP is the Percy Jackson movie..'
366286083635425280,2013-08-10 19:53:02,b'Off to hong kong I go #hellomypeople'
365146871074795520,2013-08-07 16:26:12,b'It would be so fun to go into a store and break everything in it'
